id,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count
4926231,4,.5,1,2,1828,2,1218,1,1125,29,59,89,178,3,3
4927147,5,1,2,3,2985,2,457,30,1125,24,54,83,353,44,5
4933336,4,1,2,2,2592,4,500,3,1125,0,0,11,283,59,1
4934107,2,1,1,1,2196,2,0,2,1125,0,0,0,0,8,20
4935786,2,1,1,1,2592,1,0,1,1125,0,0,0,0,0,1
4937964,2,1,1,1,1036,1,426,2,1124,22,47,76,342,191,3
4938261,2,1,1,1,2498,2,0,2,1125,0,22,24,295,3,20
4944089,4,1,2,2,3990,2,0,2,1125,27,57,59,60,0,20
4944190,2,1,1,1,2985,1,0,2,1125,11,11,30,30,1,20
4944559,2,1,1,1,2985,1,0,2,1125,11,35,37,246,11,20
4947756,2,1,1,1,2010,1,0,2,1125,0,0,0,56,1,20
4951590,3,1,1,2,2285,2,609,3,99,8,25,54,140,72,16
4968590,1,2.5,1,1,1188,1,0,1,1125,0,0,0,0,76,9
4968720,2,2.5,1,1,1614,1,0,1,1125,19,49,79,201,19,9
4969299,2,1,1,1,1036,2,500,2,60,7,18,45,132,100,3
4969791,2,1,1,1,1036,2,500,2,60,14,44,74,157,95,3
4971852,2,1,1,1,1005,1,400,1,365,16,46,76,348,72,2
4984328,6,1,1,3,1006,1,350,2,1125,14,41,64,80,180,10
4988796,6,2,3,4,4758,4,500,1,1125,5,17,30,299,225,2
4989136,2,1,1,1,792,1,396,1,1124,18,47,65,338,161,3
4989673,2,1,1,1,1310,2,1000,1,90,29,59,89,102,36,7
4992245,1,1,1,1,944,1,600,1,1125,8,23,32,290,187,3
5001526,4,1,1,1,1919,2,457,2,1125,0,5,11,270,141,2
5003087,5,2,1,5,2437,5,499,1,1125,30,60,90,363,2,43
5009430,5,1,1,3,1493,2,300,1,1125,10,36,59,330,143,3
5015620,3,1,1,1,1220,1,320,1,1125,16,46,76,351,143,3
5015695,4,1,1,1,1342,1,330,1,1125,0,0,0,252,106,3
5016003,2,1,1,1,2135,1,610,2,1125,0,0,0,0,5,1
5017751,8,2,3,5,3202,4,500,3,1125,12,33,56,320,18,14
5022890,6,1,0,3,2193,2,200,1,1125,15,39,69,343,68,2
5026693,4,1,1,2,3655,3,600,1,333,30,60,90,365,3,3
5027136,2,1,1,1,2132,1,600,1,333,30,60,90,365,1,3
5030468,6,1,1,3,2254,4,250,2,1125,7,25,48,78,49,13
5041086,6,1,1,3,1797,3,200,2,199,28,51,70,337,49,15
5055528,1,10,1,12,609,1,0,1,1125,30,58,88,88,80,2
5060437,5,2,2,2,2406,2,400,2,1125,14,33,49,319,65,37
5060833,4,1,1,2,1889,2,400,2,1125,18,40,70,345,59,37
5060907,6,1.5,2,2,2985,2,400,2,1125,10,26,46,310,49,37
5060965,2,1,1,1,945,2,200,30,1124,0,0,2,270,14,37
5061025,8,2,1,4,3290,3,400,2,1125,9,21,44,300,98,37
5063998,3,1,1,2,2013,1,0,1,1125,0,0,0,0,0,11
5064994,6,2,3,3,2501,1,0,1,1125,0,0,0,0,0,2
5065599,2,1,1,1,488,1,0,1,1125,0,0,0,0,0,1
5073144,5,1,2,2,1980,1,305,3,1125,17,43,66,336,113,2
5081030,6,1,1,3,1006,1,350,2,1125,11,39,65,78,189,10
5081189,12,2,2,6,5398,8,500,1,1125,30,60,90,365,23,10
5088566,8,3,1,8,335,1,385,1,1125,1,1,1,88,52,18
5101283,2,1,1,1,2193,1,0,2,1125,29,50,52,138,3,20
5108484,4,1,1,2,2894,1,0,1,1125,28,58,88,88,5,6
5117309,2,1,1,1,915,1,0,1,1125,0,0,0,0,2,1
5117935,2,1,1,1,1706,1,0,1,1125,11,17,46,311,21,7
5118027,2,.5,1,2,4112,1,0,1,1125,30,60,90,365,0,1
5118544,2,1,1,2,1493,1,0,1,1125,18,46,73,334,29,7
